schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,Scalable Autoregressive Visual Generation with Vector Quantization,Shang Guan; Yue Wu; Wei Lin,https://paperswithcode.co/paper/98401,https://github.com/ai-research/scalable-official,38648,2026-04-25T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,Direct Preference Optimization: Your Language Model is Secretly a Reward Model,Rafael Rafailov; Archit Sharma; Eric Mitchell,https://paperswithcode.co/paper/98402,https://github.com/ai-research/direct-official,30922,2026-03-01T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning,Tri Dao,https://paperswithcode.co/paper/98403,https://github.com/ai-research/flashattention2-official,17109,2026-06-11T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Patrick Lewis; Ethan Perez; Aleksandra Piktus,https://paperswithcode.co/paper/98404,https://github.com/ai-research/retrievalaugmented-official,44927,2026-06-14T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,LoRA: Low-Rank Adaptation of Large Language Models,Edward J. Hu; Yelong Shen; Phillip Wallis,https://paperswithcode.co/paper/98405,,0,2026-06-08T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,DeepSeek-AI Team,https://paperswithcode.co/paper/98406,https://github.com/ai-research/deepseekr1-official,38987,2026-07-21T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,"Llama 3 Herd of Models: Architecture, Training, and Alignment",Meta AI Research Team,https://paperswithcode.co/paper/98407,https://github.com/ai-research/llama-official,1688,2026-05-09T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,QLoRA: Efficient Finetuning of Quantized LLMs,Tim Dettmers; Artidoro Pagnoni; Ari Holtzman,https://paperswithcode.co/paper/98408,https://github.com/ai-research/qlora-official,8853,2026-04-18T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Shunyu Yao; Dian Yu; Jeffrey Zhao,https://paperswithcode.co/paper/98409,https://github.com/ai-research/tree-official,23047,2026-06-16T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,Speculative Decoding: Fast LLM Inference via Target Model Alignment,Yaniv Leviathan; Matan Kalman; Yossi Matias,https://paperswithcode.co/paper/98410,,0,2026-05-31T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,Toolformer: Language Models Can Teach Themselves to Use Tools,Timo Schick; Jane Dwivedi-Yu; Roberto Dessì,https://paperswithcode.co/paper/98411,https://github.com/ai-research/toolformer-official,35853,2026-07-10T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,Self-Instruct: Aligning Language Models with Self-Generated Instructions,Yizhong Wang; Yeganeh Kordi; Swaroop Mishra,https://paperswithcode.co/paper/98412,https://github.com/ai-research/selfinstruct-official,3548,2026-07-06T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,Constitutional AI: Harmlessness from AI Feedback,Yuntao Bai; Saurav Kadavath; Sandeep Kundu,https://paperswithcode.co/paper/98413,https://github.com/ai-research/constitutional-official,13612,2026-06-04T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,Mixture-of-Depths: Dynamically Allocating Compute in Transformer Models,David Raposo; Sam Ritter; Blake Richards,https://paperswithcode.co/paper/98414,https://github.com/ai-research/mixtureofdepths-official,30078,2026-08-09T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,RoFormers: Enhanced Transformer with Rotary Position Embedding,Jianlin Su; Yu Lu; Shengfeng Pan,https://paperswithcode.co/paper/98415,,0,2026-04-12T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,Scalable Autoregressive Visual Generation with Vector Quantization [Ref #16],Shang Guan; Yue Wu; Wei Lin,https://paperswithcode.co/paper/98416,https://github.com/ai-research/scalable-official,15687,2026-05-13T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,Direct Preference Optimization: Your Language Model is Secretly a Reward Model [Ref #17],Rafael Rafailov; Archit Sharma; Eric Mitchell,https://paperswithcode.co/paper/98417,https://github.com/ai-research/direct-official,40259,2026-04-13T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning [Ref #18],Tri Dao,https://paperswithcode.co/paper/98418,https://github.com/ai-research/flashattention2-official,26133,2026-03-17T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks [Ref #19],Patrick Lewis; Ethan Perez; Aleksandra Piktus,https://paperswithcode.co/paper/98419,https://github.com/ai-research/retrievalaugmented-official,37547,2026-07-16T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,LoRA: Low-Rank Adaptation of Large Language Models [Ref #20],Edward J. Hu; Yelong Shen; Phillip Wallis,https://paperswithcode.co/paper/98420,,0,2026-08-15T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
1.0,RESEARCH_PAPER,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning [Ref #21],DeepSeek-AI Team,https://paperswithcode.co/paper/98421,https://github.com/ai-research/deepseekr1-official,21459,2026-07-28T15:06:53.999699+00:00,2026-08-16T15:06:53.999699+00:00
